name,survey,theta_E_pub,prom_native,prom_euclid
J0008-0004,SLACS,1.159999966621399,0.0,0.0
J0029-0055,SLACS,0.9599999785423279,250.0188284495167,231.8823462991142
J0037-0942,SLACS,1.5299999713897705,112.00557315270653,96.98225531794087
J0044+0113,SLACS,0.7900000214576721,141.02932548307902,128.82893400347646
J0109+1500,SLACS,0.6899999976158142,28.6261123959859,17.26973846509792
J0157-0056,SLACS,0.7900000214576721,62.02648779894048,48.89332059575333
J0216-0813,SLACS,1.159999966621399,66.72008336153931,65.26489809788428
J0252+0039,SLACS,1.0399999618530273,207.45686005300777,147.1306453248539
J0330-0020,SLACS,1.100000023841858,236.20057432891824,197.71995970132784
J0405-0455,SLACS,0.800000011920929,607.7926982653948,456.80241548522235
J0728+3835,SLACS,1.25,224.40711764050496,216.89746415131515
J0737+3216,SLACS,1.0,0.0,0.0
J0822+2652,SLACS,1.1699999570846558,58.52847240869459,56.749254439939904
J0841+3824,SLACS,1.409999966621399,16.981077659803866,15.286897301722638
J0903+4116,SLACS,1.2899999618530273,134.40664232166657,132.71736882741254
J0912+0029,SLACS,1.6299999952316284,23.530268824382883,22.384285840857956
J0935-0003,SLACS,0.8700000047683716,148.58807462524834,80.3620637233984
J0936+0913,SLACS,1.090000033378601,54.99947475369029,57.564837226762606
J0946+1006,SLACS,1.3799999952316284,71.71452276461008,73.8257888588757
J0955+0101,SLACS,0.9100000262260437,835.7162524203533,544.0859684828666
J0956+5100,SLACS,1.3300000429153442,160.7671456112583,127.56266687559793
J0959+4416,SLACS,0.9599999785423279,53.17180088331583,51.615479352401934
J0959+0410,SLACS,0.9900000095367432,45.11062317414156,44.20228714245118
J1016+3859,SLACS,1.090000033378601,739.2643835619818,566.7381681455071
J1020+1122,SLACS,1.2000000476837158,135.78470545744602,115.10891363708484
J1023+4230,SLACS,1.409999966621399,67.94523576075743,74.77702705592922
J1029+0420,SLACS,1.0099999904632568,69.71673428956949,64.95056211890899
J1032+5322,SLACS,1.0299999713897705,745.5415318174287,581.5891680224514
J1100+5329,SLACS,1.5199999809265137,27.710393008081457,25.009440257254983
J1103+5322,SLACS,1.0199999809265137,205.68106068030443,167.55215198018715
J1106+5228,SLACS,1.2300000190734863,216.7988652248483,209.63377826265724
J1112+0826,SLACS,1.4900000095367432,118.72276848415257,67.21791281893144
J1134+6027,SLACS,1.100000023841858,565.1612331477357,418.31781875725244
J1142+1001,SLACS,0.9800000190734863,283.9663276164643,220.58418199149475
J1143-0144,SLACS,1.6799999475479126,78.2583869303091,61.293361674360064
J1153+4612,SLACS,1.0499999523162842,76.05609228900191,15.693824076816139
J1204+0358,SLACS,1.309999942779541,190.0029521871309,147.22299797958684
J1205+4910,SLACS,1.2200000286102295,230.77746188518455,182.69831068111873
J1213+6708,SLACS,1.4199999570846558,698.0120071728577,568.4048734833159
J1218+0830,SLACS,1.4500000476837158,33.845464031127726,33.620616588885845
J1250+0523,SLACS,1.1299999952316284,12.460736265740579,51.83547041520611
J1251-0208,SLACS,0.8399999737739563,16.361656568553872,11.420059194860409
J1402+6321,SLACS,1.350000023841858,464.84967088500815,352.62566927624727
J1403+0006,SLACS,0.8299999833106995,8382.657467636234,6064.831469879101
J1416+5136,SLACS,1.3700000047683716,40.70621123753085,39.55727771606373
J1420+6019,SLACS,1.0399999618530273,153.21348861023785,129.86277688298682
J1430+4105,SLACS,1.5199999809265137,129.94560971917062,123.82603861565228
J1432+6317,SLACS,1.2599999904632568,143.57034789911754,148.03998911528208
J1436-0000,SLACS,1.1200000047683716,173.89996348968907,121.19284900278227
J1443+0304,SLACS,0.8100000023841858,188.57417741912923,198.0315538090872
J1451-0239,SLACS,1.0399999618530273,976.7611866085543,556.1677615247111
J1525+3327,SLACS,1.309999942779541,30.04153448130547,29.930078675255864
J1531-0105,SLACS,1.7100000381469727,56.5550072403329,54.57943812706396
J1538+5817,SLACS,1.0,419.8165052466288,338.31227633270004
