i,name,theta_E_pub,off_center,defl_re_px,defl_re_as,n_field_comp,arc_coverage,n_knots,arc_radius_px,arc_defl_flux,arc_contrast,flag_off_center,flag_no_arc,flag_two_light,flag_theta_mismatch,flag_tiny_theta
158,102042914_NEG522625262291125533,0.701,0.7,10.1,0.504,3,0.625,2,15.2,0.4743,39.2,0,0,0,0,0
159,102042914_NEG523479785291521247,0.821,1.3,12.4,0.62,5,0.542,3,15.8,0.1769,16.4,0,0,0,0,0
160,102042915_NEG527574180288799276,0.816,6.6,14.3,0.714,3,0.875,4,16.9,0.7906,60.4,0,0,0,0,0
161,102042915_NEG528545016288651034,0.011,0.5,8.2,0.408,2,0.583,2,10.5,1.8136,394.1,0,0,0,0,1
162,102042916_NEG533251142291509670,2.019,9.6,11.3,0.566,1,0.625,2,35.5,0.3012,35.5,0,0,0,0,0
163,102042917_NEG539279061291936993,1.111,1.0,12.1,0.604,0,0.708,4,20.1,0.0857,12.2,0,0,0,0,0
164,102042917_NEG540132584291926297,0.525,0.4,11.1,0.556,1,0.625,2,11.5,0.734,33.2,0,0,0,0,0
165,102042917_NEG540926519290733004,0.881,6.9,11.1,0.555,1,0.625,2,15.9,0.5004,45.1,0,0,0,0,0
166,102042918_NEG544805259289548872,1.254,2.3,11.3,0.564,2,0.75,5,25.3,0.0834,28.4,0,0,0,0,0
167,102042919_NEG549525883291619345,1.019,3.2,17.3,0.864,1,0.5,2,21.0,0.2038,10.9,0,0,0,0,0
168,102042919_NEG550105155291238806,0.924,2.0,12.7,0.635,0,0.667,3,19.7,0.2733,61.8,0,0,0,0,0
169,102042919_NEG550683279289700727,0.877,0.9,15.9,0.793,1,0.833,6,18.7,0.361,16.9,0,0,0,0,0
170,102043549_NEG530257443283430270,0.471,0.4,7.9,0.396,2,0.458,3,9.4,0.0777,8.8,0,0,0,0,0
171,102043551_NEG542774461286906112,1.273,1.5,9.0,0.452,3,0.667,6,23.7,0.024,16.4,0,0,0,0,0
172,102043551_NEG544735665285502399,0.869,3.6,9.5,0.474,3,0.625,3,14.7,0.0959,29.0,0,0,0,0,0
173,102043551_NEG546245791286829440,0.97,4.3,10.3,0.514,1,0.542,2,18.8,0.3375,45.6,0,0,0,0,0
174,102043552_NEG548209510282510524,0.613,0.7,10.4,0.52,1,0.667,2,12.3,0.223,13.6,0,0,0,0,0
175,102044182_NEG512061540278527911,0.927,2.2,10.1,0.507,2,0.75,4,19.2,0.1719,18.0,0,0,0,0,0
176,102044182_NEG514435270280350833,0.644,0.7,10.6,0.53,2,0.542,2,12.4,1.2466,40.5,0,0,0,0,0
177,102044183_NEG515787441281897369,0.767,0.5,12.9,0.645,1,0.542,3,16.2,0.3013,13.5,0,0,0,0,0
178,102044185_NEG529514172281460834,0.625,0.4,10.4,0.519,2,0.625,2,12.2,0.4462,28.3,0,0,0,0,0
179,102044186_NEG535621262280129063,0.894,1.0,13.3,0.666,3,0.792,5,19.0,0.1891,68.3,0,0,0,0,0
180,102044187_NEG538533000282255459,0.626,4.3,13.8,0.69,1,0.542,1,13.9,0.7505,83.2,0,0,0,0,0
181,102044187_NEG538575988280255664,1.067,3.5,12.7,0.635,1,0.625,4,17.8,0.1432,25.1,0,0,0,0,0
182,102044188_NEG544517310278613198,1.938,2.2,11.8,0.59,0,0.792,12,41.3,0.0701,20.2,0,0,0,0,0
183,102044188_NEG548070624278595332,0.922,1.3,7.9,0.395,1,0.583,2,19.6,0.3591,132.3,0,0,0,0,0
184,102044821_NEG509449559274572380,1.057,1.1,16.6,0.828,2,0.542,4,19.9,0.0825,10.1,0,0,0,0,0
185,102044823_NEG519310575275844311,1.061,1.2,10.3,0.515,1,0.75,5,22.2,0.062,24.6,0,0,0,0,0
186,102044823_NEG519633334274259646,0.809,0.4,11.8,0.588,4,0.792,3,16.1,0.2157,35.6,0,0,0,0,0
187,102044824_NEG525230483273308137,0.918,3.4,13.4,0.669,0,0.417,2,15.6,0.4881,42.4,0,0,0,0,0
188,102044824_NEG528789191276364582,0.874,7.8,15.5,0.774,1,0.625,4,18.1,1.5266,55.2,0,0,0,0,0
189,102044825_NEG534081174272937149,1.09,1.4,8.7,0.433,3,0.667,4,22.6,0.1304,50.8,0,0,0,0,0
190,102044826_NEG537879168275630474,0.898,6.6,10.8,0.542,3,0.833,2,17.7,0.4925,124.0,0,0,0,0,0
191,102044826_NEG537893681272621987,1.602,5.9,11.4,0.568,3,0.583,6,29.0,0.0509,16.1,0,0,0,0,0
192,102045463_NEG510363299272415391,0.753,1.6,13.0,0.652,5,0.917,2,16.0,0.2811,25.2,0,0,0,0,0
193,102045464_NEG514418387268262939,0.773,3.4,11.3,0.563,0,0.75,2,13.7,0.407,43.1,0,0,0,0,0
194,102045464_NEG515803462270682480,0.478,0.2,6.8,0.34,1,0.667,2,10.3,0.3357,63.7,0,0,0,0,0
195,102045467_NEG529760884271850076,0.909,0.6,12.4,0.619,5,0.583,4,20.4,0.2229,14.4,0,0,0,0,0
196,102045468_NEG534525411271636586,0.795,1.7,17.1,0.857,0,0.625,3,17.2,1.9623,24.5,0,0,0,0,0
197,102045468_NEG537581789271144818,1.184,1.1,10.4,0.52,2,0.667,4,24.7,0.3553,57.0,0,0,0,0,0
198,102045470_NEG546481364271947360,0.902,1.8,10.6,0.531,3,0.667,2,16.0,0.1862,25.7,0,0,0,0,0
199,102046111_NEG522631915266742195,0.684,2.5,6.2,0.311,0,0.833,2,12.4,0.1767,94.7,0,0,0,0,0
200,102046111_NEG524535231263409554,0.842,4.0,12.8,0.641,0,0.375,2,22.8,0.1669,7.9,0,0,0,0,0
201,102046111_NEG525674252262710433,1.141,0.5,12.4,0.618,5,0.708,3,23.2,0.1897,54.7,0,0,0,0,0
