i,name,theta_E_pub,off_center,defl_re_px,defl_re_as,n_field_comp,arc_coverage,n_knots,arc_radius_px,arc_defl_flux,arc_contrast,flag_off_center,flag_no_arc,flag_two_light,flag_theta_mismatch,flag_tiny_theta
0,102018665_NEG570040238507752998,0.849,2.9,11.5,0.574,0,0.583,3,15.0,0.292,20.6,0,0,0,0,0
1,102018665_NEG576731213511114485,1.05,0.5,7.6,0.382,3,0.625,5,17.2,0.0137,9.6,0,0,0,0,0
2,102018666_NEG579859279508531437,1.582,3.3,8.9,0.443,1,0.625,5,26.8,0.0511,12.0,0,0,0,0,0
3,102018667_NEG587746535508057234,0.88,1.0,9.9,0.494,1,0.5,2,17.7,0.1488,17.0,0,0,0,0,0
4,102018668_NEG595646727509469177,0.465,4.7,12.2,0.608,4,0.583,1,10.3,1.2263,75.9,0,0,0,0,0
5,102019123_NEG564667438505382529,1.657,0.9,10.8,0.54,1,0.542,4,27.7,0.0289,7.7,0,0,0,0,0
6,102019123_NEG567245233502945885,0.676,13.5,17.3,0.863,1,0.5,2,14.6,7.8256,410.5,0,0,0,0,0
7,102019126_NEG589666030505609975,0.601,0.7,9.1,0.455,3,0.75,2,12.8,0.1049,117.3,0,0,0,0,0
8,102019127_NEG596525941504553950,0.702,1.0,9.9,0.494,1,0.667,2,15.4,0.5134,37.5,0,0,0,0,0
9,102019127_NEG598523367504401932,1.403,0.2,10.4,0.522,1,0.583,4,27.9,0.3892,58.7,0,0,0,0,0
10,102019128_NEG607555025503027911,1.087,1.8,8.4,0.422,0,0.583,7,22.4,0.0479,18.6,0,0,0,0,0
11,102019128_NEG608928997504779012,0.713,1.3,10.3,0.515,1,0.75,2,15.7,0.4589,249.7,0,0,0,0,0
12,102019129_NEG617672661504204895,0.857,4.5,7.0,0.349,2,0.625,2,17.0,0.2448,113.8,0,0,0,0,0
13,102019131_NEG626148898503257561,1.09,0.9,11.6,0.58,1,0.875,4,23.4,0.262,43.9,0,0,0,0,0
14,102019586_NEG564463213499964061,1.159,1.2,9.9,0.493,1,0.667,2,22.7,0.1415,42.2,0,0,0,0,0
15,102019588_NEG576940500501085311,0.763,1.5,9.2,0.461,1,0.208,1,8.9,0.0174,7.1,0,0,0,1,0
16,102019588_NEG579781735502176069,0.755,5.9,12.3,0.617,1,0.625,4,15.0,0.5176,24.1,0,0,0,0,0
17,102019588_NEG581189290502362418,0.668,6.3,11.8,0.592,1,0.583,2,12.4,1.0745,23.6,0,0,0,0,0
18,102019591_NEG601417531499600002,2.186,1.6,9.4,0.469,0,0.292,3,42.6,0.0196,11.6,0,0,0,0,0
19,102019592_NEG606434619500983922,0.646,10.0,12.9,0.645,3,0.792,2,13.7,1.2558,86.9,0,0,0,0,0
20,102019593_NEG612269334502356628,0.779,1.5,12.0,0.599,2,0.708,5,16.6,0.0952,37.5,0,0,0,0,0
21,102019594_NEG620978815501656388,0.871,1.9,14.6,0.729,2,0.708,4,18.7,0.6127,59.1,0,0,0,0,0
22,102019595_NEG630246532498667881,0.962,3.0,13.7,0.687,2,0.208,2,22.7,0.137,6.4,0,0,0,0,0
23,102020054_NEG556215936492901652,0.673,2.8,10.9,0.547,5,0.708,4,14.8,0.5942,232.8,0,0,0,0,0
24,102020055_NEG563894315496088157,0.812,2.3,13.4,0.67,1,0.667,4,14.2,0.4204,27.6,0,0,0,0,0
25,102020055_NEG564676209494509344,1.301,3.6,11.4,0.568,3,0.833,3,25.5,0.0703,16.1,0,0,0,0,0
26,102020056_NEG568919155497446978,0.951,1.7,8.0,0.4,3,0.625,2,20.3,0.311,65.5,0,0,0,0,0
27,102020056_NEG569381219495998178,0.672,2.1,9.7,0.486,2,0.833,3,14.8,0.243,69.8,0,0,0,0,0
28,102020056_NEG571928631495947554,0.77,6.0,11.2,0.56,4,0.542,2,16.7,0.8793,459.5,0,0,0,0,0
29,102020056_NEG573379534495223440,0.754,2.8,13.1,0.655,3,0.792,4,16.3,0.3065,49.8,0,0,0,0,0
30,102020059_NEG590814898493650143,1.122,5.7,11.3,0.566,2,0.667,4,23.3,0.3821,51.4,0,0,0,0,0
31,102020059_NEG591341887496138046,0.608,3.1,9.8,0.488,0,0.5,2,11.0,0.3529,23.4,0,0,0,0,0
32,102020059_NEG595972740496354540,1.09,13.4,15.2,0.758,3,0.625,4,23.4,1.862,152.6,0,0,0,0,0
33,102020060_NEG598920538496078263,0.859,6.2,13.1,0.653,2,0.792,2,17.1,1.9674,122.8,0,0,0,0,0
34,102020060_NEG604835509496532268,0.987,0.9,15.9,0.796,0,0.708,5,20.2,0.1949,15.3,0,0,0,0,0
35,102020061_NEG607087127495633316,1.259,1.6,10.4,0.521,2,0.708,5,23.8,0.0877,37.7,0,0,0,0,0
36,102020061_NEG608203827493491303,1.125,10.4,14.9,0.743,3,0.625,2,21.2,0.5638,30.5,0,0,0,0,0
37,102020061_NEG612388468493726389,1.156,0.6,13.1,0.656,3,0.75,4,24.6,0.2351,65.4,0,0,0,0,0
38,102020062_NEG617330086494647877,1.856,2.9,12.3,0.613,1,0.667,6,30.1,0.0461,16.8,0,0,0,0,0
39,102020063_NEG625857431494380658,0.521,1.2,9.5,0.475,1,0.792,2,11.0,1.0056,96.3,0,0,0,0,0
40,102020063_NEG626156743494681651,0.796,2.0,10.9,0.544,2,0.708,4,14.0,0.059,24.5,0,0,0,0,0
41,102020064_NEG630441470494718517,1.174,1.0,13.2,0.661,3,0.417,3,24.1,0.4425,68.6,0,0,0,0,0
42,102020064_NEG635872258496841682,0.752,1.6,8.2,0.41,0,0.625,3,16.0,0.1515,20.6,0,0,0,0,0
43,102020065_NEG639706305497277844,0.004,2.2,14.5,0.723,6,0.583,1,7.7,0.6972,167.6,0,0,0,0,1
44,102020066_NEG645419324493086283,2.294,2.8,11.5,0.573,1,0.25,4,51.8,0.0322,8.4,0,0,0,0,0
45,102020528_NEG554976975487853956,0.957,2.0,11.8,0.591,5,0.708,2,20.1,0.1291,45.5,0,0,0,0,0
46,102020529_NEG564427129491602014,0.718,1.3,14.9,0.744,0,0.833,2,15.9,0.6813,31.7,0,0,0,0,0
47,102020530_NEG572303674490459976,1.568,1.4,11.4,0.57,4,0.542,4,31.2,0.0929,13.1,0,0,0,0,0
48,102020532_NEG584961967491933103,0.593,2.0,12.5,0.625,2,0.667,1,13.0,0.5495,23.6,0,0,0,0,0
49,102020532_NEG589257492489565961,1.235,0.6,10.5,0.524,7,0.833,3,23.8,0.071,35.9,0,0,0,0,0
50,102020532_NEG591117402487550021,1.092,1.8,9.3,0.464,3,0.625,4,18.0,0.0527,11.0,0,0,0,0,0
51,102020532_NEG592320863488461402,0.672,0.6,11.7,0.587,3,0.625,4,13.3,0.4614,19.7,0,0,0,0,0
52,102020533_NEG596261344490617547,1.161,7.4,12.3,0.615,1,0.708,3,20.7,0.4945,43.4,0,0,0,0,0
53,102020534_NEG600985388487893328,0.608,1.7,12.0,0.598,4,0.708,3,12.6,0.3585,42.7,0,0,0,0,0
54,102020534_NEG604836154490669092,1.529,12.5,15.2,0.76,3,0.667,4,27.7,0.5279,48.0,0,0,0,0,0
55,102020534_NEG604929086489066527,1.048,1.6,12.7,0.633,2,0.833,3,22.2,0.1776,78.6,0,0,0,0,0
56,102020535_NEG608150353491434608,0.41,0.6,10.3,0.516,3,0.708,2,8.6,0.169,24.9,0,0,0,0,0
57,102020536_NEG621645331488224037,1.022,5.2,12.3,0.614,2,0.625,3,18.1,0.2883,24.0,0,0,0,0,0
58,102020538_NEG631689440492354239,0.901,2.3,12.7,0.633,1,0.583,2,16.0,0.128,8.6,0,0,0,0,0
59,102020538_NEG637045736489835935,0.712,1.9,10.8,0.538,0,0.75,4,15.1,0.548,46.6,0,0,0,0,0
60,102020539_NEG639239120489296299,1.452,2.5,11.8,0.592,11,0.792,6,29.6,0.1675,125.5,0,0,0,0,0
61,102020539_NEG640534948489252606,0.838,0.9,15.7,0.784,3,0.458,2,16.7,0.3895,8.3,0,0,0,0,0
62,102020539_NEG641383802490968352,0.715,0.6,10.1,0.505,2,0.583,2,14.7,0.2402,26.2,0,0,0,0,0
63,102021006_NEG554672577486973111,0.814,10.0,14.7,0.735,1,0.667,4,17.4,1.7568,115.5,0,0,0,0,0
64,102021008_NEG569571426487440793,0.7,1.9,11.5,0.576,0,0.75,2,15.1,0.1979,47.4,0,0,0,0,0
65,102021009_NEG577024787484062221,2.286,0.9,11.3,0.563,1,0.917,7,44.5,0.3954,68.5,0,0,0,0,0
66,102021010_NEG581199679484613010,1.319,2.7,12.9,0.644,1,0.5,3,26.4,0.1175,23.1,0,0,0,0,0
67,102021012_NEG594963796484947260,1.834,1.5,12.0,0.599,2,0.583,6,33.0,0.0423,17.1,0,0,0,0,0
68,102021013_NEG602940269483238112,1.132,11.6,13.3,0.667,6,0.625,2,24.3,0.8289,373.0,0,0,0,0,0
69,102021013_NEG606090281487314103,0.944,1.8,8.9,0.445,3,0.708,2,20.3,0.1517,76.0,0,0,0,0,0
70,102021014_NEG610047486487275523,0.755,1.1,11.8,0.589,2,0.708,2,16.2,0.2332,58.1,0,0,0,0,0
71,102021014_NEG612545150486042170,1.09,2.3,10.7,0.534,0,0.667,5,18.3,0.1641,24.9,0,0,0,0,0
72,102021014_NEG614981615482506340,0.621,8.6,15.5,0.773,0,0.625,1,13.8,1.8924,48.8,0,0,0,0,0
73,102021014_NEG616133820483754774,1.886,3.4,11.2,0.562,3,0.625,5,37.1,0.1388,21.7,0,0,0,0,0
74,102021016_NEG627891706482718950,0.73,2.0,12.0,0.602,13,0.833,5,16.0,0.2352,82.4,0,0,0,0,0
75,102021016_NEG629685198482852633,2.285,2.6,15.7,0.786,0,0.542,7,39.4,0.1282,44.8,0,0,0,0,0
76,102021017_NEG633207820486535571,0.586,3.7,8.8,0.44,1,0.667,2,12.3,0.7066,119.1,0,0,0,0,0
77,102021017_NEG637928660482715254,1.161,7.3,13.2,0.66,3,0.542,3,16.6,0.3242,18.1,0,0,0,0,0
78,102021018_NEG640120110483854165,0.896,1.2,9.7,0.483,1,0.708,5,18.9,0.3561,121.6,0,0,0,0,0
79,102021019_NEG651956451483599583,0.952,4.4,15.9,0.795,3,0.75,3,19.0,0.798,40.3,0,0,0,0,0
80,102021020_NEG656951229482999258,0.769,1.7,14.6,0.728,2,0.625,5,16.7,0.3328,13.1,0,0,0,0,0
81,102021492_NEG579460447477747720,1.427,2.9,10.3,0.514,0,0.667,6,29.1,0.0795,26.4,0,0,0,0,0
82,102021492_NEG580553783482399812,0.958,2.3,9.5,0.475,4,0.75,6,17.9,0.1283,26.4,0,0,0,0,0
83,102021493_NEG583380599480841946,0.923,2.2,10.1,0.504,3,0.792,3,20.1,0.2365,75.9,0,0,0,0,0
84,102021493_NEG584317889477816598,0.983,1.6,12.7,0.634,2,0.708,5,17.3,0.1634,15.5,0,0,0,0,0
85,102021493_NEG586398445479765591,0.85,2.2,9.7,0.486,2,0.708,6,14.7,0.1163,32.4,0,0,0,0,0
86,102021493_NEG587807121477852004,0.741,0.9,8.4,0.421,0,0.667,2,16.2,0.3507,106.4,0,0,0,0,0
87,102021496_NEG603335199478099381,0.464,1.2,9.0,0.448,0,0.75,2,9.5,0.461,55.2,0,0,0,0,0
88,102021497_NEG611694459481354870,0.899,1.2,9.1,0.454,1,0.542,4,20.2,0.0315,11.5,0,0,0,0,0
89,102021497_NEG615658160478755691,0.463,0.8,11.6,0.58,0,0.708,2,9.6,0.4987,54.0,0,0,0,0,0
90,102021498_NEG620710751479897662,0.914,2.5,11.0,0.549,1,0.667,3,18.1,0.1295,21.5,0,0,0,0,0
91,102021499_NEG628042951482285714,1.475,0.8,12.4,0.618,8,0.583,10,31.1,0.0402,9.8,0,0,0,0,0
92,102021499_NEG630283151478334717,0.67,5.2,11.5,0.573,0,0.625,2,13.9,0.9012,45.8,0,0,0,0,0
93,102021499_NEG631323422479949628,1.084,5.2,11.7,0.585,1,0.458,6,26.5,0.2221,12.9,0,0,0,0,0
94,102021500_NEG636294430480333264,1.585,1.7,10.3,0.516,2,0.917,6,30.1,0.1126,26.5,0,0,0,0,0
95,102021500_NEG636868197478599642,0.721,1.8,9.9,0.493,0,0.292,1,10.7,0.062,19.2,0,0,0,0,0
96,102021501_NEG641175215482169059,0.532,8.6,13.5,0.676,0,0.5,1,11.8,4.7987,79.4,0,0,0,0,0
97,102021501_NEG642870048480955813,0.864,1.2,10.6,0.528,2,0.583,2,15.2,0.0484,9.9,0,0,0,0,0
98,102021503_NEG655073934479995542,0.519,2.6,10.9,0.546,1,0.583,2,11.3,0.2593,184.8,0,0,0,0,0
99,102021504_NEG663164014479278882,0.706,2.8,12.4,0.619,3,0.708,2,13.4,0.3493,21.4,0,0,0,0,0
100,102021504_NEG664270221479670737,0.843,1.7,11.8,0.592,1,0.583,3,15.3,0.2684,19.2,0,0,0,0,0
101,102021504_NEG666846889481107505,1.125,6.9,18.7,0.935,0,0.792,6,24.5,0.6561,82.4,0,0,0,0,0
102,102021504_NEG669028748480810029,0.55,1.1,10.6,0.528,1,0.458,1,12.2,0.4148,23.7,0,0,0,0,0
103,102021978_NEG565786336477092595,0.426,2.3,8.9,0.447,2,0.75,1,9.3,0.7176,167.4,0,0,0,0,0
104,102021980_NEG576667803474825283,1.08,0.0,10.6,0.528,5,0.833,3,22.7,0.088,39.5,0,0,0,0,0
105,102021980_NEG577646036477033395,0.763,1.3,8.1,0.404,3,0.5,2,14.5,0.059,10.0,0,0,0,0,0
106,102021981_NEG583343318473770500,0.758,1.9,13.2,0.658,2,0.792,3,16.9,0.1616,29.7,0,0,0,0,0
107,102021981_NEG586493481476452509,1.024,3.6,12.9,0.644,4,0.917,3,20.1,0.1648,29.0,0,0,0,0,0
108,102021982_NEG593574657477168830,0.556,1.3,7.6,0.38,2,0.708,4,11.0,0.2006,29.9,0,0,0,0,0
109,102021982_NEG594322234473727139,0.849,0.8,13.8,0.689,1,0.542,3,17.5,0.2318,11.4,0,0,0,0,0
