,id_str,einstein_radius_effective_max_lh,einstein_radius_effective_median_pdf,einstein_radius_effective_lower_1_sigma,einstein_radius_effective_upper_1_sigma,einstein_radius_effective_lower_3_sigma,einstein_radius_effective_upper_3_sigma,centre_0_max_lh,centre_0_median_pdf,centre_0_lower_3_sigma,centre_0_upper_3_sigma,centre_0_lower_1_sigma,centre_0_upper_1_sigma,centre_1_max_lh,centre_1_median_pdf,centre_1_lower_3_sigma,centre_1_upper_3_sigma,centre_1_lower_1_sigma,centre_1_upper_1_sigma,ell_comps_0_max_lh,ell_comps_0_median_pdf,ell_comps_0_lower_3_sigma,ell_comps_0_upper_3_sigma,ell_comps_0_lower_1_sigma,ell_comps_0_upper_1_sigma,ell_comps_1_max_lh,ell_comps_1_median_pdf,ell_comps_1_lower_3_sigma,ell_comps_1_upper_3_sigma,ell_comps_1_lower_1_sigma,ell_comps_1_upper_1_sigma,einstein_radius_max_lh,einstein_radius_median_pdf,einstein_radius_lower_3_sigma,einstein_radius_upper_3_sigma,einstein_radius_lower_1_sigma,einstein_radius_upper_1_sigma,shear_gamma_1_max_lh,shear_gamma_1_median_pdf,shear_gamma_1_lower_3_sigma,shear_gamma_1_upper_3_sigma,shear_gamma_1_lower_1_sigma,shear_gamma_1_upper_1_sigma,shear_gamma_2_max_lh,shear_gamma_2_median_pdf,shear_gamma_2_lower_3_sigma,shear_gamma_2_upper_3_sigma,shear_gamma_2_lower_1_sigma,shear_gamma_2_upper_1_sigma
0,102018665_NEG570040238507752998,0.8531238144562217,0.8202370463906674,0.7908560156471266,0.851181644065209,0.773844485816361,0.8594493666594912,-0.0965279096964988,-0.08017938701481747,-0.15203599014939603,0.009244981197764944,-0.10628147367869048,-0.05145674014974852,-0.08195541740078155,-0.08275449537389898,-0.15947381838255606,-0.00949718958321928,-0.1074131938271256,-0.05455346171290062,-0.12416592408648311,-0.06474016664581471,-0.23247044622525964,0.19748378981659803,-0.12628591980221635,0.016149501600766152,-0.2762124567567959,-0.19102423114943134,-0.3979737681568694,0.049065728986972104,-0.2576222063378794,-0.08131683229426115,0.9078632618660292,0.8487810169699187,0.7576249141641066,0.9354548864269742,0.80453116712058,0.8937399611539193,-0.1728769204664,-0.11416729380901273,-0.21562053734933548,0.026463740853176244,-0.16177747703891948,-0.05213563770723948,-0.02827145040099,0.007413510576963832,-0.09068801534804952,0.12994354212034856,-0.026798455043903113,0.06111620873372015
1,102018665_NEG576731213511114485,0.9878524530055169,0.9880561311898808,0.9835738732900778,0.994457877956235,0.9738080405792601,1.0011427966126836,-0.053157048558267486,-0.04972975760053689,-0.0828751644570281,-0.023532689442779985,-0.059055836175062305,-0.041943437869723696,-0.03096887363088236,-0.054427220876848086,-0.08794553742791342,-0.008320989434940473,-0.06373101780326107,-0.03786920601407144,-0.1372027493228672,-0.1480715182149044,-0.2309529397527085,-0.058928122230349676,-0.1677770694525568,-0.12749476439902171,0.2412308902138452,0.2503394834846943,0.15811286730894852,0.3261252844956366,0.22851005136038113,0.26899945351121346,1.0429162088418324,1.0502292740383743,1.0062843951353535,1.1097079565348176,1.0378208254077572,1.0616029118059869,0.13713584873379,0.13838944765225467,0.07829313955476484,0.17901409530381449,0.12574839111967961,0.1485894716021473,-0.05959004981982,-0.06263132131179551,-0.10317599294169313,-0.019011857735100106,-0.07283141672093822,-0.05168663570777813
2,102018666_NEG579859279508531437,1.510349583356288,1.5144145230183548,1.5096621816318183,1.518702935265701,1.49863763492494,1.5343379009599192,-0.033898309718420366,-0.0540471458595079,-0.08370580872948895,-0.016801529992934515,-0.06336179823724203,-0.04126679501543663,0.022447417966706337,0.04080679367085725,-0.01099753800647854,0.10253457349766754,0.026836813437357374,0.0545175605858284,0.23490273459459268,0.28599871534579996,0.2080585494875646,0.4127789892051421,0.257371665741736,0.32253781170356766,-0.06324979810802596,-0.04084918484105945,-0.08897706040723598,0.012968464785833501,-0.055539869853028445,-0.029641336917770916,1.5511158115290842,1.5824456852899351,1.5257458913622244,1.7088250774787381,1.5605556515453889,1.6123265239853142,-0.08308584474291,-0.07069374853549219,-0.09993850164941631,-0.03452136265210699,-0.07869140532192481,-0.06289441990539564,-0.0028025123644,0.010480754602706744,-0.028562500225282568,0.05475012204305163,-0.00017141513053943499,0.02348930786182788
3,102018667_NEG587746535508057234,0.8886850961438545,0.8832301849047004,0.8707089841767625,0.8927654598568688,0.8707089841767625,0.8995025593001569,0.10671617777001158,0.102090499749944,0.08074565705682456,0.11149253123821204,0.09786463770924074,0.10292857275181644,0.03753537860799254,0.03497152321919239,0.014385617716839027,0.04813197604423646,0.023438348642221288,0.03767693075531856,-0.05919989373325536,-0.024684588080892064,-0.10962519586360162,0.0016150893125943572,-0.07814648832888621,-0.01997975654487203,0.017597463921869658,0.00994759547169916,-0.019198000320234884,0.05547590031870263,0.007074980461831407,0.032991742117491805,0.8839897099527846,0.8799555493695171,0.8667158644133746,0.9020588238178087,0.8667269287722226,0.8907411530668107,0.00038086382913,-0.005691151748957319,-0.020032600912586285,0.030899953980063302,-0.007490157047692054,0.011127479522719126,-0.10461483209145,-0.0753697278271663,-0.13755253004951418,-0.06219640655489876,-0.11637706725746207,-0.07179742828847097
4,102018668_NEG595646727509469177,0.4533412958747309,0.45649401330026385,0.45086837041354205,0.46299337497906723,0.4461390428114555,0.4683137835748279,0.13363647682824792,0.13710007950855824,0.0881049965641143,0.17320613860384704,0.12455517152179921,0.14691318680285556,0.11091434398285165,0.11677574997250534,0.08366090153384743,0.15085414863650973,0.10727146138739471,0.12771021900143437,0.16939028420812627,0.16164843091189826,0.06742670623696745,0.2491501159621551,0.13758510644930816,0.18652861099746898,0.026729958370463186,0.041837642390699654,-0.030467311089646357,0.12281634740595791,0.01807625720755442,0.06817779360818513,0.463132851147163,0.465412211192004,0.45108771548526216,0.4850724001994412,0.461061991673097,0.4712413107185974,0.02550349619598,0.04087622637589988,0.01171391512667327,0.08265136536764905,0.028078896275585415,0.05361442878807447,0.08653573803338,0.07811280030072132,0.023649087858298314,0.12773586689357933,0.0620400472471321,0.09394063039054204
5,102019123_NEG564667438505382529,1.6397076763933678,1.640759151954946,1.6361890944346371,1.645372884485278,1.6256896547325845,1.6560121536982515,0.03283309393392626,0.035308387712239805,-0.006707165764880295,0.08349239107198615,0.02106851068839923,0.04998559440576135,0.04378181922935405,0.04192331536849512,-0.02900006494673238,0.0842407177624965,0.026185639526967286,0.05509056027625478,0.1269474037798237,0.1268363331003401,0.005684663015123481,0.21852833985851375,0.09934321436197628,0.1510110122236416,-0.10861795335136872,-0.10104549828629884,-0.1531993205295849,-0.010011928195742429,-0.12270859922290009,-0.07492371986956081,1.6577624700001004,1.6566806832559229,1.6199222019928812,1.7054898991783323,1.6439224094179863,1.6711008973110932,-0.05329233332425,-0.04834802089475111,-0.07902469102755319,0.006096432106813147,-0.0618822124754433,-0.03339425871601455,-0.03300390115205,-0.031493814701545275,-0.09109686469839191,0.004672074461073943,-0.04221308073886043,-0.021000568339965348
6,102019123_NEG567245233502945885,0.6753564212760098,0.6759267758349676,0.6689418654184619,0.6829730099836406,0.6594330061453937,0.7012611017388923,-0.1455608102031817,-0.15189762607276128,-0.17993582107395859,-0.12168338138018824,-0.16074201162127433,-0.14217607841757238,-0.01073866090723269,-0.008486478163229614,-0.03158570329805555,0.027033433277506548,-0.014571063552129566,0.0012305007739121378,-0.0752065039553612,-0.06942167576226242,-0.27182123719129414,0.09466345601161721,-0.12113144709840855,-0.00862104078034986,-0.08300823330377169,-0.08198956597254359,-0.22045740653841064,0.06557626256900699,-0.12796363383258547,-0.027446232525256766,0.6762955595340002,0.6759902710726957,0.6560333196381232,0.7255133822195688,0.6686566176651718,0.6838427102910573,-0.00342623772299,-0.0033284069688257426,-0.07502000665204316,0.07845583969645599,-0.029284977566262856,0.03274746242389699,0.04433518728649,0.050939712476683656,-0.050673628814411606,0.12115978312843538,0.023596716674319992,0.08009603883416326
7,102019125_NEG586359480506090347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,102019126_NEG589666030505609975,0.5874257074571011,0.5851859161639434,0.5762060163813901,0.5961807194460566,0.5606910093052518,0.6122393463798153,0.07606690031603539,0.0908206014566758,0.03992138545853176,0.1386011862182788,0.07203109455793681,0.10884424471838076,-0.04026710669463633,-0.003536065396457285,-0.04929826771906715,0.049366088280267714,-0.02860517002692653,0.011792084754885636,0.34281807997487784,0.30149201564521866,0.0774416373807233,0.4539918332899363,0.2099826933690581,0.3772014290280613,-0.1651519435225488,-0.16397308704679736,-0.33601633215461146,0.016555077961571463,-0.21980763840051648,-0.11273601857998872,0.5959303863330226,0.6005450595042254,0.50551316179264,0.6896756889363184,0.5616582689466828,0.6390115961447498,-0.17530724989171,-0.15892970095423617,-0.23744187497929606,-0.07494692490534713,-0.18130305279719383,-0.1283106617245094,-0.11468865401292,-0.09643423182607853,-0.22481618970546455,-0.005090150697318598,-0.14877930147708088,-0.04657951941709697
9,102019127_NEG596525941504553950,0.6751861634228103,0.6782040853665294,0.6541068860946212,0.6896752912833211,0.6129083406216352,0.7117366670822824,-0.023892001169229106,-0.010521214806702737,-0.058948827820095494,0.060060833422312776,-0.029496713955608794,0.009947817749239484,0.0778838338692512,0.05089820624261691,-0.06396495292892455,0.13281533381753408,0.02108275858690388,0.07771948669353616,-0.16599433069815295,-0.1370272459961629,-0.27409251931578293,0.11196009847962034,-0.18566533864442278,-0.07322658129400207,0.161511807941616,0.19186352432209205,0.07216692964956439,0.4163823270571247,0.1480520029944204,0.25351654251678485,0.6965664828464255,0.7015530425491207,0.6285116288668686,0.7639436056705512,0.6777605362885972,0.7244742957928915,-0.00442669244255,0.026400380177703787,-0.04240375588850397,0.17694717742995644,-0.00010936977652028909,0.0657864145088918,-0.10453081233459,-0.09865694756317048,-0.15694847475379511,0.016127377401314362,-0.11961811347357626,-0.06905741525041904
