name,ra_deg,dec_deg,theta_E_pub,q_pub,survey,src_table
G4_0061,244.69479,19.50742,0.0,0.0,LRGDEFL2,prop12209_vd326_ve90_z0.491
G4_0062,241.22287,33.92950,0.0,0.0,LRGDEFL2,prop10886_vd226_ve8_z0.079
G4_0063,146.11446,-1.79511,0.0,0.0,LRGDEFL2,prop12209_vd171_ve43_z0.539
G4_0064,241.86896,15.75236,0.0,0.0,LRGDEFL2,prop12210_vd169_ve15_z0.142
G4_0065,138.81913,-0.91684,0.0,0.0,LRGDEFL2,prop12209_vd216_ve16_z0.402
G4_0066,234.37616,2.34359,0.0,0.0,LRGDEFL2,prop12209_vd221_ve26_z0.483
G4_0067,152.39329,1.88483,0.0,0.0,LRGDEFL2,prop12210_vd216_ve24_z0.335
G4_0068,225.94040,32.42839,0.0,0.0,LRGDEFL2,prop12209_vd395_ve94_z0.606
G4_0069,320.71686,4.15989,0.0,0.0,LRGDEFL2,prop12209_vd308_ve49_z0.626
G4_0070,230.53979,29.17275,0.0,0.0,LRGDEFL2,prop12209_vd252_ve46_z0.556
G4_0071,169.40720,-1.55247,0.0,0.0,LRGDEFL2,prop12209_vd255_ve75_z0.467
G4_0072,223.24644,33.39708,0.0,0.0,LRGDEFL2,prop12209_vd290_ve39_z0.560
G4_0073,191.10837,1.19636,0.0,0.0,LRGDEFL2,prop10587_vd162_ve7_z0.072
G4_0074,116.89476,44.81644,0.0,0.0,LRGDEFL2,prop12209_vd232_ve40_z0.436
G4_0075,211.58767,25.47972,0.0,0.0,LRGDEFL2,prop12210_vd408_ve18_z0.119
G4_0076,114.77558,32.02669,0.0,0.0,LRGDEFL2,prop12210_vd198_ve7_z0.186
G4_0077,230.03788,-0.58256,0.0,0.0,LRGDEFL2,prop10587_vd200_ve13_z0.114
G4_0078,355.99529,-0.50626,0.0,0.0,LRGDEFL2,prop10886_vd256_ve11_z0.181
G4_0079,207.29296,36.21102,0.0,0.0,LRGDEFL2,prop12209_vd198_ve23_z0.440
G4_0080,137.72129,5.33978,0.0,0.0,LRGDEFL2,prop10886_vd287_ve28_z0.271
G4_0081,122.24492,47.11081,0.0,0.0,LRGDEFL2,prop10886_vd227_ve11_z0.219
G4_0082,159.91096,15.92200,0.0,0.0,LRGDEFL2,prop12210_vd195_ve5_z0.084
G4_0083,16.38925,1.18739,0.0,0.0,LRGDEFL2,prop12210_vd149_ve55_z0.358
G4_0084,154.24284,-2.14259,0.0,0.0,LRGDEFL2,prop12209_vd170_ve23_z0.470
G4_0085,132.46467,20.52508,0.0,0.0,LRGDEFL2,prop12210_vd202_ve8_z0.084
G4_0086,235.69304,16.49772,0.0,0.0,LRGDEFL2,prop12209_vd218_ve17_z0.352
G4_0087,194.61433,37.06125,0.0,0.0,LRGDEFL2,prop12210_vd200_ve9_z0.073
