stamp_id,keep_nurkyz,keep_final,reason,flags,nurkyz_comment
G4B_00161,1,1,,,
G4B_00162,1,1,,,
G4B_00163,1,1,,close_pair_check_isophote_fit,2 in the center
G4B_00164,1,1,,,
G4B_00165,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,some faint circles around the light - maybe galaxy arms
G4B_00166,1,1,,,
G4B_00167,1,1,,close_pair_check_isophote_fit,2 in the center
G4B_00168,1,0,"KNOWN lens-type object within 10arcsec: [FKC2008] COSMOS 0254+1430 (gLS, 1.06"")",,
G4B_00169,1,1,,,
G4B_00170,1,1,,,
G4B_00171,1,1,,,
G4B_00172,1,1,,,
G4B_00173,1,1,,,
G4B_00174,1,1,,,
G4B_00175,1,1,,,
G4B_00176,1,1,,,
G4B_00177,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy
G4B_00178,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy
G4B_00179,1,1,,low_snr,"black backrgound, maybe bad image quality"
G4B_00180,1,1,,,
G4B_00181,1,1,,neighbors_mask,2 bright light sources in the image
G4B_00182,1,1,,,
G4B_00183,1,1,,,
G4B_00184,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy
G4B_00185,1,1,,close_pair_check_isophote_fit,2 lights close in the center
G4B_00187,1,1,,,
G4B_00191,1,1,,,
G4B_00193,0,0,,,
G4B_00194,1,1,,bcg,
G4B_00195,1,1,,neighbors_mask|bcg,3 bright light sources in the image
G4B_00196,0,0,,,
G4B_00206,0,0,,,
G4B_00207,0,0,,,
G4B_00208,1,1,,,
G4B_00213,1,1,,,
G4B_00214,1,1,,bcg,
G4B_00215,0,0,,,
G4B_00216,0,0,,,
G4B_00217,1,1,,neighbors_mask|bcg,many bright light sources in the image
G4B_00218,1,1,,,
G4B_00219,1,1,,neighbors_mask|bcg,many bright light sources in the image
G4B_00220,1,1,,,
G4B_00221,0,0,"(was already keep=0) known lens-type within 10"": NAME Eyelash",,
G4B_00222,1,1,,,
G4B_00223,1,1,,close_pair_check_isophote_fit,2 light close in the center
G4B_00224,1,1,,bcg,
G4B_00225,1,1,,bcg,
G4B_00226,1,1,,bcg,
G4B_00227,0,0,"(was already keep=0) known lens-type within 10"": VIRTUAL PARENT MCS J0150.3-1005",,
G4B_00228,1,1,,,
G4B_00229,1,1,,close_pair_check_isophote_fit,2 in the center
G4B_00230,1,1,,bcg,
G4B_00231,1,1,,,
G4B_00232,1,1,,,
G4B_00233,1,1,,close_pair_check_isophote_fit,2 light close in the center
G4B_00234,1,1,,bcg,
G4B_00235,1,1,,,
G4B_00236,1,1,,close_pair_check_isophote_fit|bcg,2 light close in the center
G4B_00237,1,1,,,
G4B_00238,1,1,,bcg,
G4B_00239,1,1,,,
G4B_00240,1,1,,neighbors_mask,many bright light sources in the image
G4B_00241,1,1,,close_pair_check_isophote_fit,2 light close in the center
G4B_00242,1,1,,bcg,
G4B_00243,1,1,,neighbors_mask,3 bright light sources in the image
G4B_00244,1,1,,bcg,
G4B_00245,1,1,,,
G4B_00246,1,1,,close_pair_check_isophote_fit|bcg,2-3 light close in the center
G4B_00247,1,1,,,
G4B_00248,0,0,,,
G4B_00249,1,1,,,
G4B_00250,1,1,,,
G4B_00251,1,1,,,
G4B_00252,1,1,,,
G4B_00253,1,1,,,
G4B_00254,1,1,,,
G4B_00255,1,0,"KNOWN lens-type object within 10arcsec: [RER2016] MACSJ0140-1028 (LeG, 9.85"")",,
G4B_00256,1,1,,bcg,
G4B_00257,1,1,,,
G4B_00258,1,1,,,
G4B_00259,1,1,,,
G4B_00260,0,0,,,
G4B_00261,1,0,"KNOWN lens-type object within 10arcsec: [KAA2009] SDSS J1113+2356 (gLS, 0.87"")",,2 lights close in the center
G4B_00262,1,0,"KNOWN lens-type object within 10arcsec: CSWA 11 (gLS, 0.13"")",,many bright light sources in the image
