stamp_id,keep_nurkyz,keep_final,reason,flags,nurkyz_comment
G4B_00871,1,1,,,
G4B_00872,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00873,1,1,,,
G4B_00874,1,1,,,
G4B_00875,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00876,0,0,"(was already keep=0) known lens-type within 10"": [NMT2009] HST J114331.46-014508.0",,
G4B_00877,0,0,,,
G4B_00878,1,1,,,
G4B_00879,0,0,,,
G4B_00880,1,1,,,
G4B_00881,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00882,0,0,,,
G4B_00883,1,1,,,
G4B_00885,1,1,,,
G4B_00886,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,maybe a galaxy with 2 arms
G4B_00887,1,1,,,
G4B_00888,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00889,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful galaxy with swirling arms, is it ok?"
G4B_00890,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00892,1,1,,,
G4B_00893,0,0,,,
G4B_00894,1,1,,,
G4B_00895,1,1,,,
G4B_00896,1,1,,,
G4B_00898,0,0,,,
G4B_00899,1,1,,,
G4B_00900,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"galaxy with swirling arms, is it ok?"
G4B_00901,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,looks like a big bright galaxy
G4B_00906,1,1,,,
G4B_00912,1,0,"KNOWN lens-type object within 10arcsec: CSWA 38 (gLS, 0.2"")",,
G4B_00913,0,0,,,
G4B_00914,1,1,,,
G4B_00915,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"g galaxy with swirling arms, is it ok?"
G4B_00917,1,1,,,
G4B_00918,1,1,,,
G4B_00919,1,0,suspected contamination near center (wisp+companion),,looks like a galaxy or like there is an arc already
G4B_00920,0,0,,,
G4B_00921,0,0,,,
G4B_00922,1,0,"KNOWN lens-type object within 10arcsec: [FKC2008] COSMOS 0056+1226 (gLS, 1.3"")",,"3 britgh sources of light in the image, the one in the center looks like it has an arc"
G4B_00923,1,0,flocculent spiral,,"either a galaxy with arms, or an arc"
G4B_00924,1,1,,,
G4B_00925,1,1,,,
G4B_00926,1,1,,bcg,
G4B_00927,1,1,,neighbors_mask,3 bright lights
G4B_00928,1,1,,,
G4B_00929,1,1,,,
G4B_00930,1,1,,,
G4B_00931,1,1,,,
G4B_00932,1,1,,,
G4B_00933,1,1,,neighbors_mask,3 bright lights
G4B_00934,1,1,,,
G4B_00935,1,1,,,
G4B_00936,1,1,,neighbors_mask,2-6 bright lights
G4B_00937,1,1,,,
G4B_00938,1,1,,,
G4B_00939,1,1,,,
G4B_00940,1,0,"KNOWN lens-type object within 10arcsec: [FKC2008] COSMOS 5940+5012 (gLS, 1.53"")",,
G4B_00941,1,1,,,
G4B_00942,1,1,,close_pair_check_isophote_fit,2 lights
G4B_00943,1,1,,,
G4B_00944,1,1,,bcg,
G4B_00945,1,1,,,
G4B_00946,1,1,,bcg,
G4B_00947,1,0,"KNOWN lens-type object within 10arcsec: [FKC2008] COSMOS 5951+1236 (gLS, 1.05"")",,
G4B_00948,1,0,"KNOWN lens-type object within 10arcsec: [FKC2008] COSMOS 0013+2249 source (LeG, 0.73"")",,
G4B_00949,1,1,,,
G4B_00950,1,1,,,
G4B_00951,1,1,,,
G4B_00952,1,1,,,
G4B_00953,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"galaxy with swirling arms, is it ok?"
G4B_00954,1,1,,bcg,
G4B_00955,1,1,,,
G4B_00956,1,1,,,
G4B_00957,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,likely a galaxy
G4B_00958,1,1,,,
G4B_00959,1,1,,bcg,
G4B_00960,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"galaxy with swirling arms, is it ok?"
G4B_00961,1,1,,,
G4B_00962,1,1,,,
G4B_00963,1,1,,close_pair_check_isophote_fit,2 lights in the center
G4B_00964,1,1,,,
G4B_00965,1,1,,,
G4B_00966,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy
G4B_00967,1,1,,,
G4B_00968,1,1,,,
G4B_00969,1,1,,,
G4B_00970,1,1,,bcg,
G4B_00971,1,1,,,
G4B_00972,1,1,,,
G4B_00973,1,1,,bcg,
G4B_00974,1,0,"KNOWN lens-type object within 10arcsec: [FKC2008] COSMOS 5906+4524 source (LeG, 0.89"")",,
G4B_00975,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy likely
G4B_00976,0,0,,,
G4B_00977,1,1,,,
G4B_00978,1,1,,bcg,
G4B_00979,0,0,,,
G4B_00980,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"galaxy with swirling arms, is it ok?"
G4B_00981,1,1,,,
G4B_00982,1,1,,,
G4B_00983,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"galaxy with uneven swirling arms, is it ok?"
G4B_00984,1,1,,,
G4B_00985,1,1,,,
G4B_00986,1,0,two overlapping edge-on disks,,2 bright slashes
G4B_00987,1,1,,,
G4B_00988,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"big galaxy with swirling arms, is it ok?"
G4B_00989,1,1,,,
G4B_00990,1,1,,,
G4B_00991,1,1,,,
G4B_00992,1,1,,,
G4B_00993,1,1,,,
G4B_00994,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"big galaxy with swirling arms, is it ok?"
G4B_00995,1,1,,,
G4B_00996,0,0,,,
G4B_00997,1,1,,,
G4B_00998,0,0,,,
G4B_00999,1,1,,,
G4B_01000,1,1,,,
G4B_01001,1,1,,,
G4B_01002,1,1,,,
G4B_01003,1,1,,,
G4B_01004,1,1,,bcg,
G4B_01005,1,1,,,
G4B_01006,0,0,,,
G4B_01007,1,1,,bcg,
G4B_01008,1,1,,,
G4B_01009,0,0,,,
G4B_01010,1,1,,,
G4B_01011,1,1,,,
G4B_01012,1,1,,,
G4B_01013,1,1,,bcg,
G4B_01014,1,1,,,
G4B_01015,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_01016,1,1,,,
G4B_01017,1,1,,bcg,
G4B_01018,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,again looks like a galaxy
G4B_01019,1,1,,,
G4B_01020,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy
G4B_01021,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy
G4B_01022,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy with 2 arms
G4B_01023,1,1,,,
G4B_01024,1,1,,,
G4B_01025,0,0,,,"rejected because there is a line crossing the light in the diagonal , is it physical or a telescope error"
G4B_01026,1,1,,,
G4B_01027,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy
G4B_01028,1,1,,,
G4B_01029,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy
G4B_01030,0,0,,,line crossing
G4B_01031,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy
G4B_01032,1,1,,,
G4B_01033,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy with arms
G4B_01034,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy with arms
G4B_01035,1,1,,close_pair_check_isophote_fit|neighbors_mask,2 bright lights in the center
G4B_01036,1,1,,,
G4B_01037,1,0,disk with faint arms + close companion,,either a compact galaxy with circular arms or an arc like a strong lens
G4B_01038,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy
G4B_01039,1,1,,,
G4B_01040,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy
G4B_01041,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,circles around the light - likely a galaxy
G4B_01042,1,1,,,
G4B_01043,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy
