stamp_id,origin,name,src_index,sigma_v,sigma_err,z_l,mag,re_arcsec,q,pa_deg,prom,flag_arcy
66,new,G4_0124,122,212.0,15.0,0.17,16.972,1.489,0.828,-25.1,50.0,1
67,new,G4_0125,123,180.0,19.0,0.152,17.482,1.353,0.986,-42.9,218.5,1
68,new,G4_0126,124,171.0,11.0,0.076,16.684,1.116,0.91,-33.3,112.4,1
69,new,G4_0127,125,261.0,14.0,0.128,16.933,0.978,0.918,-87.7,170.1,1
71,new,G4_0141,138,231.0,12.0,0.206,17.23,1.075,0.916,42.8,106.7,1
72,new,G4_0146,143,207.0,13.0,0.142,17.226,1.532,0.879,-15.6,118.7,1
73,new,G4_0149,146,245.0,9.0,0.125,16.232,1.443,0.865,14.7,52.4,1
75,new,G4_0152,149,185.0,6.0,0.123,16.711,1.175,0.85,86.8,185.3,1
76,new,G4_0153,150,170.0,11.0,0.13,16.87,1.249,0.898,-85.8,95.3,1
77,new,G4_0156,153,239.0,11.0,0.142,16.54,1.337,0.716,22.1,120.0,1
78,new,G4_0158,155,242.0,13.0,0.229,16.926,1.554,0.951,-44.5,35.8,1
79,new,G4_0160,157,270.0,9.0,0.094,15.52,1.829,0.823,-12.9,98.2,1
80,new,G4_0162,159,225.0,9.0,0.114,16.29,1.425,0.871,22.2,145.0,1
81,new,G4_0184,180,232.0,10.0,0.142,16.501,1.755,0.926,73.1,72.0,1
84,new,G4_0190,186,204.0,14.0,0.131,17.277,1.245,0.888,-48.8,105.3,1
85,new,G4_0193,189,267.0,21.0,0.229,17.388,1.575,0.875,22.5,54.8,1
86,new,G4_0194,190,236.0,9.0,0.087,15.57,1.663,0.899,-72.3,69.3,1
88,new,G4_0198,194,252.0,11.0,0.188,16.649,1.477,0.953,42.4,0.0,0
89,new,G4_0200,196,407.0,57.0,0.417,18.023,1.196,0.833,54.4,101.4,1
90,old_train,J0028-0929,0,158.802,5.099163,0.05651893,15.562,2.385,0.82,-38.8,29.4,1
91,old_train,J0354-0648,1,159.7191,7.583535,0.1300709,16.436,1.846,0.947,15.5,99.8,1
92,old_train,J0847+0318,5,200.1411,10.75085,0.1191583,17.094,1.325,0.809,66.0,204.6,1
93,old_train,J0912+4136,6,215.4401,7.141256,0.06453554,15.877,1.287,0.772,11.8,121.9,1
94,old_train,J0934+6034,8,204.6884,9.180329,0.1010743,16.617,1.255,0.742,48.3,81.8,1
95,old_train,J0953+5205,9,203.7331,14.47386,0.1309633,17.277,1.245,0.888,-48.8,105.3,1
96,old_train,J1025-0035,10,241.1717,10.57824,0.1589206,16.062,2.122,0.919,-81.4,51.0,1
97,old_train,J1039+0513,11,174.2659,11.46401,0.06681362,15.719,1.472,0.941,49.1,136.7,1
98,old_train,J1159+5447,17,226.3887,8.108258,0.08176615,16.05,1.207,0.812,88.1,65.8,1
99,old_train,J1211+4550,19,230.7908,8.033003,0.1110025,16.133,1.502,0.878,65.5,47.6,1
100,old_train,J1244+0111,20,162.3073,6.531673,0.07245521,15.66,1.537,0.862,87.2,44.4,1
101,old_train,J1343+6052,22,195.5744,4.380127,0.03430038,14.312,2.033,0.867,-6.6,27.2,1
102,old_train,J1436+4939,24,215.381,12.54941,0.1224585,16.601,1.423,0.857,45.5,88.3,1
103,old_train,J1452-0058,26,195.1452,12.18758,0.1769851,17.263,0.933,0.807,-3.6,178.0,1
104,old_train,J1520-0034,28,200.2067,13.40732,0.1139796,17.13,1.186,0.851,57.0,390.3,1
105,old_train,J1524-0052,29,180.2525,19.4057,0.1523808,17.48,1.355,0.986,-42.9,215.1,1
106,old_train,J1525+0114,30,169.8152,10.63076,0.1295882,16.87,1.249,0.898,-85.8,95.3,1
