stamp_id,name,src_index,sigma_v,sigma_err,z_l,mag,re_arcsec,q,pa_deg,prom,flag_arcy,iso_a3,iso_b3,iso_a4,iso_b4,iso_m3,iso_m4,iso_harm12,iso_nann,iso_drift_px,iso_q,iso_pa_deg,flag_iso_bad,flag_pair
232,G4B_00502,361,276.0,88.0,0.505,19.37,0.816,0.784,-36.0,154.5,1,0.00159,0.00656,-0.00918,-0.00303,0.00875,0.01239,0.00626,10,0.22558,0.69363,-29.65814,0,0
233,G4B_00503,362,259.0,54.0,0.49,18.111,2.878,0.871,-81.3,39.2,1,-0.08018,0.01549,0.05154,-0.09815,0.09673,0.18517,0.42761,10,7.08286,0.25,-138.65885,0,1
234,G4B_00505,363,254.0,71.0,0.541,19.141,2.215,0.721,29.1,209.3,1,0.13251,-0.06849,0.07866,0.02671,0.15855,0.10716,0.75226,10,6.96925,0.25,80.44056,0,1
235,G4B_00510,368,407.0,110.0,0.508,19.386,1.393,0.87,86.8,59.1,1,0.0188,-0.01099,0.01333,-0.00605,0.02843,0.02897,0.03882,10,1.03934,0.79615,85.85327,0,0
236,G4B_00517,372,266.0,69.0,0.396,19.534,0.617,0.819,86.3,277.6,1,-0.00211,-0.00687,0.00893,-0.00072,0.00948,0.01308,0.012,10,0.15005,0.57108,112.99953,0,0
237,G4B_00518,373,357.0,77.0,0.398,20.102,0.588,0.99,-15.3,297.5,1,-0.00499,0.00928,0.01356,-0.00428,0.02332,0.02175,0.0784,10,0.66759,0.72186,-19.6775,0,0
238,G4B_00527,376,224.0,14.0,0.224,17.249,1.285,0.98,-28.9,247.1,1,-0.00104,0.00094,-0.00487,0.0019,0.00242,0.00557,0.00143,10,0.13267,0.94701,-37.14812,0,0
239,G4B_00529,377,223.0,14.0,0.131,16.705,1.415,0.858,84.0,127.8,1,-0.00514,-0.00584,-0.00296,0.00025,0.01265,0.00609,0.01034,10,0.86819,0.72411,87.0981,0,0
240,G4B_00531,379,188.0,13.0,0.08,16.982,0.679,0.645,-27.3,972.6,1,0.00016,-0.0033,0.02144,-0.00123,0.00498,0.02288,0.00202,10,0.05687,0.48877,-23.99622,0,0
241,G4B_00535,382,184.0,27.0,0.357,19.336,0.84,0.878,-13.9,189.9,1,-0.00283,-0.00553,-0.00302,-0.01693,0.01071,0.02045,0.08181,10,0.46963,1.0,-10.08371,0,1
242,G4B_00536,383,203.0,13.0,0.222,17.287,1.886,0.866,1.3,113.9,1,-0.00033,-0.00362,-0.0082,-0.00446,0.01326,0.01034,0.06771,10,1.12951,0.78431,18.19792,0,0
243,G4B_00538,384,205.0,11.0,0.187,17.383,1.475,0.89,-68.8,64.4,1,-0.00035,-0.00044,0.00321,-0.01174,0.0015,0.01201,0.00338,10,0.11595,0.7633,-62.20114,0,0
244,G4B_00539,385,176.0,8.0,0.144,16.783,1.472,0.964,25.6,133.9,1,-0.00968,0.00534,0.00773,-0.01273,0.01163,0.01679,0.02129,10,2.01443,0.91387,16.40891,0,0
245,G4B_00540,386,214.0,40.0,0.428,18.575,1.175,0.821,-64.7,163.9,1,0.00466,0.00037,-0.01039,-0.00069,0.0075,0.01245,0.01118,10,0.32873,0.66807,-67.20334,0,0
246,G4B_00541,387,229.0,27.0,0.424,18.599,1.243,0.858,-6.7,103.6,1,0.01274,0.01385,-0.00455,0.00292,0.0243,0.01136,0.05535,10,0.62852,0.7418,-16.70447,0,0
247,G4B_00543,389,248.0,27.0,0.452,18.438,1.537,0.872,-42.9,27.1,1,0.0034,0.00469,0.00215,-0.00319,0.0069,0.00943,0.02064,10,0.17813,0.83939,-42.03936,0,0
248,G4B_00544,390,240.0,18.0,0.323,18.307,1.255,0.881,26.0,70.6,1,-0.00031,-0.00037,-0.01273,-0.0043,0.00261,0.01342,0.00892,10,0.14746,0.77548,28.18827,0,0
249,G4B_00546,391,144.0,12.0,0.145,17.231,1.451,0.805,-79.6,82.4,1,0.00905,0.00231,0.00241,0.00056,0.01059,0.00562,0.02743,10,0.57366,0.68356,-81.25173,0,0
250,G4B_00550,394,239.0,33.0,0.542,19.635,0.697,0.874,45.6,89.8,1,-0.00178,0.00118,-0.00272,-0.00735,0.00327,0.00822,0.00646,10,0.07988,0.78126,36.02845,0,0
251,G4B_00553,397,233.0,15.0,0.19,17.399,0.884,0.826,-82.8,162.5,1,0.00085,-0.00081,0.00597,0.00036,0.00605,0.00928,0.00438,10,0.17506,0.79113,-82.55175,0,0
252,G4B_00557,400,155.0,13.0,0.137,16.995,1.854,0.807,20.9,493.0,1,0.00847,-0.00393,0.05313,0.00347,0.01815,0.05471,0.02558,10,0.35593,0.50358,22.88848,0,0
253,G4B_00559,402,181.0,16.0,0.28,17.369,2.605,0.782,66.0,57.8,1,-0.00842,-0.07669,0.16501,-0.01289,0.10663,0.16541,0.59092,10,6.13076,0.53317,-23.95057,0,1
254,G4B_00560,403,178.0,17.0,0.283,18.045,2.189,0.67,-60.5,266.0,1,0.02661,-0.01065,0.01975,-0.00355,0.03235,0.03251,0.1159,10,3.39138,0.58204,-48.19476,0,1
255,G4B_00561,404,176.0,13.0,0.285,18.109,1.013,0.937,-84.1,169.4,1,-0.00203,-0.00083,0.00203,-0.00402,0.0033,0.00561,0.00406,10,0.174,0.90806,-80.7843,0,0
256,G4B_00562,405,139.0,21.0,0.288,19.001,0.54,0.534,-24.2,723.1,1,0.00206,0.00187,-0.01007,-0.00663,0.00436,0.02099,0.00575,10,0.08191,0.62775,-30.80934,0,0
257,G4B_00565,407,195.0,20.0,0.241,18.541,0.991,0.593,35.9,1441.4,1,-0.00396,-0.00252,-0.00904,-0.00272,0.00466,0.01208,0.02376,10,0.22411,0.60863,34.39155,0,0
