name,ra_deg,dec_deg,theta_E_pub,q_pub,survey,src_table
G4B_00040,7.60659,5.84627,0.0,0.0,LRGDEFL2B,tierA|vd=265+-39|z=0.419|ACSWFC|5000s|P9403
G4B_00041,249.21905,41.04403,0.0,0.0,LRGDEFL2B,tierA|vd=310+-23|z=0.428|ACSWFC|4760s|P9761
G4B_00042,207.68351,38.03986,0.0,0.0,LRGDEFL2B,tierA|vd=282+-36|z=0.541|ACSWFC|4602s|P--
G4B_00043,186.92342,12.42514,0.0,0.0,LRGDEFL2B,tierA|vd=365+-51|z=0.526|WFC3UVIS|4574s|P17528
G4B_00044,39.87356,-1.50416,0.0,0.0,LRGDEFL2B,tierA|vd=279+-21|z=0.325|ACSWFC|4387s|P16278
G4B_00045,209.97091,62.49686,0.0,0.0,LRGDEFL2B,tierA|vd=284+-20|z=0.329|ACSWFC|4360s|P11591
G4B_00046,42.01413,-3.52923,0.0,0.0,LRGDEFL2B,tierA|vd=386+-22|z=0.189|ACSWFC|4243s|P--
G4B_00047,179.32217,33.61093,0.0,0.0,LRGDEFL2B,tierA|vd=301+-13|z=0.214|ACSWFC|4240s|P--
G4B_00048,144.10211,30.20589,0.0,0.0,LRGDEFL2B,tierA|vd=385+-68|z=0.527|WFC3UVIS|4200s|P--
G4B_00049,197.75747,-3.17771,0.0,0.0,LRGDEFL2B,tierA|vd=333+-53|z=0.492|ACSWFC|4126s|P--
G4B_00050,197.76313,-3.18483,0.0,0.0,LRGDEFL2B,tierA|vd=323+-40|z=0.496|ACSWFC|4126s|P--
G4B_00051,260.61327,32.13257,0.0,0.0,LRGDEFL2B,tierA|vd=388+-19|z=0.223|ACSWFC|4099s|P--
G4B_00052,260.59770,32.11416,0.0,0.0,LRGDEFL2B,tierA|vd=278+-14|z=0.226|ACSWFC|4099s|P--
G4B_00053,158.56720,51.85446,0.0,0.0,LRGDEFL2B,tierA|vd=295+-38|z=0.432|WFC3UVIS|4070s|P12549
G4B_00054,149.58221,2.83479,0.0,0.0,LRGDEFL2B,tierA|vd=251+-26|z=0.349|ACSWFC|4056s|P--
G4B_00055,120.23677,36.05656,0.0,0.0,LRGDEFL2B,tierA|vd=336+-19|z=0.287|ACSWFC|4046s|P--
G4B_00056,233.22409,30.34983,0.0,0.0,LRGDEFL2B,tierA|vd=308+-30|z=0.362|ACSWFC|4018s|P--
G4B_00057,168.94307,1.49427,0.0,0.0,LRGDEFL2B,tierA|vd=324+-50|z=0.356|ACSWFC|3999s|P--
G4B_00058,260.06990,35.60736,0.0,0.0,LRGDEFL2B,tierA|vd=314+-41|z=0.387|ACSWFC|3988s|P--
G4B_00059,322.41320,0.08600,0.0,0.0,LRGDEFL2B,tierA|vd=334+-13|z=0.235|ACSWFC|3933s|P--
G4B_00060,322.41649,0.08921,0.0,0.0,LRGDEFL2B,tierA|vd=287+-20|z=0.234|ACSWFC|3933s|P--
G4B_00061,351.97594,-2.16974,0.0,0.0,LRGDEFL2B,tierA|vd=262+-43|z=0.457|ACSWFC|3884s|P10846
G4B_00062,211.31825,55.76958,0.0,0.0,LRGDEFL2B,tierA|vd=314+-54|z=0.524|ACSWFC|3470s|P--
G4B_00063,147.46583,17.11957,0.0,0.0,LRGDEFL2B,tierA|vd=326+-37|z=0.383|WFC3UVIS|3330s|P--
G4B_00064,147.47078,17.12115,0.0,0.0,LRGDEFL2B,tierA|vd=311+-21|z=0.382|WFC3UVIS|3330s|P--
G4B_00065,204.35415,8.96568,0.0,0.0,LRGDEFL2B,tierA|vd=265+-49|z=0.545|ACSWFC|3210s|P15654
G4B_00066,36.31986,0.19171,0.0,0.0,LRGDEFL2B,tierA|vd=273+-17|z=0.358|WFC3UVIS|3086s|P--
G4B_00067,36.31640,0.18782,0.0,0.0,LRGDEFL2B,tierA|vd=265+-47|z=0.358|WFC3UVIS|3086s|P--
G4B_00068,217.24907,34.55273,0.0,0.0,LRGDEFL2B,tierA|vd=259+-20|z=0.359|ACSWFC|3050s|P--
G4B_00069,217.23150,34.01831,0.0,0.0,LRGDEFL2B,tierA|vd=329+-35|z=0.328|ACSWFC|3025s|P--
G4B_00070,217.25868,34.03211,0.0,0.0,LRGDEFL2B,tierA|vd=253+-45|z=0.496|ACSWFC|3025s|P--
G4B_00071,210.66696,63.34598,0.0,0.0,LRGDEFL2B,tierA|vd=300+-34|z=0.444|ACSWFC|2940s|P--
G4B_00072,181.41795,49.17879,0.0,0.0,LRGDEFL2B,tierA|vd=290+-29|z=0.434|ACSWFC|2808s|P--
G4B_00073,149.48303,68.81521,0.0,0.0,LRGDEFL2B,tierA|vd=284+-16|z=0.194|WFC3UVIS|2798s|P--
G4B_00074,249.52999,42.86394,0.0,0.0,LRGDEFL2B,tierA|vd=285+-47|z=0.516|WFC3UVIS|2692s|P--
G4B_00075,345.21231,0.37793,0.0,0.0,LRGDEFL2B,tierA|vd=254+-25|z=0.466|ACSWFC|2644s|P--
G4B_00076,222.87587,-2.65835,0.0,0.0,LRGDEFL2B,tierA|vd=299+-35|z=0.521|ACSWFC|2532s|P--
G4B_00077,355.11896,29.79642,0.0,0.0,LRGDEFL2B,tierA|vd=301+-37|z=0.485|WFC3UVIS|2504s|P14230
G4B_00078,217.91214,-0.82499,0.0,0.0,LRGDEFL2B,tierA|vd=295+-35|z=0.396|WFC3UVIS|2489s|P15939
G4B_00079,229.84836,20.53568,0.0,0.0,LRGDEFL2B,tierA|vd=277+-40|z=0.376|WFC3UVIS|2442s|P15105
G4B_00080,212.28346,51.23921,0.0,0.0,LRGDEFL2B,tierA|vd=285+-22|z=0.318|ACSWFC|2439s|P16890
G4B_00081,260.89236,34.20059,0.0,0.0,LRGDEFL2B,tierA|vd=341+-29|z=0.443|ACSWFC|2433s|P14362
G4B_00082,260.90067,34.19946,0.0,0.0,LRGDEFL2B,tierA|vd=330+-37|z=0.442|ACSWFC|2433s|P14362
G4B_00083,223.96650,57.04495,0.0,0.0,LRGDEFL2B,tierA|vd=263+-36|z=0.476|WFC3UVIS|2424s|P13003
G4B_00084,223.99798,57.04166,0.0,0.0,LRGDEFL2B,tierA|vd=259+-37|z=0.485|WFC3UVIS|2424s|P13003
G4B_00085,186.85861,23.80004,0.0,0.0,LRGDEFL2B,tierA|vd=252+-22|z=0.222|WFC3UVIS|2420s|P--
G4B_00086,8.04951,18.14361,0.0,0.0,LRGDEFL2B,tierA|vd=285+-32|z=0.366|ACSWFC|2417s|P--
G4B_00087,116.85390,50.95160,0.0,0.0,LRGDEFL2B,tierA|vd=251+-31|z=0.460|ACSWFC|2416s|P--
G4B_00088,53.26545,-6.87592,0.0,0.0,LRGDEFL2B,tierA|vd=353+-19|z=0.288|WFC3UVIS|2400s|P--
