subsample,name,gt,lemon,our_native,our_euclid
SLACS,J0029-0055,0.96,0.9859550569346284,0.936198919342041,0.9490909403699238
SLACS,J0822+2652,1.17,2.1165729020755557,1.4139655860087075,1.312190940369924
SLACS,J0728+3835,1.25,1.718075054952569,1.170698919342041,1.1911576070365908
SLACS,J1153+4612,1.05,2.0011626786584973,1.0326655860087075,1.0492909403699242
SLACS,J0216-0813,1.16,1.709611762458391,1.143998919342041,1.120990940369924
SLACS,J1416+5136,1.37,1.4694645944226072,1.3582989193420407,1.2676242737032575
SLACS,J2341+0000,1.44,1.043597370001161,1.3903655860087074,1.3611576070365907
SLACS,J1525+3327,1.31,1.781779098680772,1.5897655860087077,1.3246576070365905
SLACS,J0956+5100,1.33,1.211699504893199,1.3356989193420405,1.3036909403699237
SLACS,J1103+5322,1.02,1.61690630309399,1.0505655860087075,1.0434242737032573
SLACS,J1023+4230,1.41,1.9159575016013823,1.3742989193420407,1.3149576070365905
SLACS,J0903+4116,1.29,2.0217079570669263,1.2701655860087078,1.2729242737032571
SLACS,J0841+3824,1.41,2.0989615668411803,0.5956322526753742,0.8486576070365907
SLACS,J1430+4105,1.52,1.5224392287398956,1.6575655860087073,1.5180242737032574
SLACS,J1630+4520,1.78,1.9467906874058412,1.7297989193420409,1.422890940369924
SLACS,J0330-0020,1.1,0.6873781318978262,1.1034655860087073,1.0927576070365905
SLACS,J1213+6708,1.42,2.178968940152151,1.5166655860087075,1.3970242737032574
SLACS,J0912+0029,1.63,1.7185988825883896,1.5529322526753742,1.529190940369924
SLACS,J0737+3216,1.0,1.022176830550399,0.962998919342041,0.9792909403699239
SLACS,J0252+0039,1.04,1.02451999803316,1.0138655860087074,1.0141909403699239
SLACS,J0959+0410,0.99,1.1325339650464843,1.0739989193420407,1.0456576070365906
SLACS,J0946+1006,1.38,1.3394243367318432,1.3970655860087073,1.3982242737032573
SLACS,J1627-0053,1.23,1.415179263028104,1.219098919342041,1.2141576070365905
SLACS,J1250+0523,1.13,1.4329060877959114,1.153298919342041,1.1633576070365907
SLACS,J2238-0754,1.27,1.5328824562812944,1.2705989193420408,1.2674576070365906
SLACS,J1205+4910,1.22,1.307415463709091,1.2114322526753742,1.321890940369924
SLACS,J1420+6019,1.04,1.1014318623594654,1.0472655860087077,1.0246909403699238
SLACS,J2303+1422,1.62,1.7795897809376504,1.5139655860087076,1.5176242737032575
SLACS,J2300+0022,1.24,2.290564216112331,1.2038322526753742,1.230990940369924
EEL,J0837,0.56,0.6036327607616541,0.5910989193420408,0.6221576070365906
EEL,J0901,0.67,0.6404236585090501,0.6915989193420409,0.6562242737032573
EEL,J1125,0.86,0.8429429135194697,0.860198919342041,0.8873242737032572
EEL,J1144,0.68,0.8701035351792563,0.6359322526753742,0.6446909403699239
EEL,J1218,0.68,0.620645411291263,0.6989655860087075,0.7035576070365905
EEL,J1323,0.31,0.5847201123498653,0.4843322526753742,1.0261242737032572
EEL,J1347,0.43,0.4852269479057111,0.4618989193420409,0.45962427370325726
EEL,J1446,0.41,0.50302578603654,0.4538655860087076,0.4563909403699239
EEL,J1605,0.64,0.668699274881517,0.6287322526753742,0.6777909403699238
EEL,J1606,0.52,0.7062393303653832,0.4954655860087076,0.5326242737032573
EEL,J1619,0.5,0.5463750381662812,0.5045989193420408,0.5286576070365906
EEL,J2228,0.6,0.75607499412208,0.6147322526753743,0.5933242737032572
COSMOS,0012+2015,0.67,2.4962458741848343,0.7354322526753743,0.7013576070365906
COSMOS,0038+4133,0.73,0.6429915510177991,0.5913322526753743,0.47925760703659065
COSMOS,0047+5023,1.41,2.0319663102289867,1.3003655860087076,0.48429094036992393
COSMOS,0211+1139,3.14,2.727053366889881,1.3028655860087075,0.5085909403699239
COSMOS,5921+0638,0.7,0.5470873927514104,0.7250322526753743,0.5850909403699239
ACS,001423.02-302109.8,1.52,1.906609631931871,1.4185322526753743,1.3239242737032573
ACS,001426.26-302255.9,1.0,0.6805847148325544,0.6902989193420409,0.7438576070365907
ACS,011018.22+193819.5,3.1,2.4028013637709393,1.0445655860087073,1.0048909403699242
ACS,084710.65+344826.4,1.98,1.873518140693483,2.2836322526753743,0.49815760703659057
ACS,095139.44+684731.2,0.77,2.072016862800042,0.6060655860087076,0.5442576070365905
ACS,103751.40-124327.5,1.48,1.150288374761433,1.0698322526753743,0.9552242737032572
ACS,122332.64-123940.3,0.36,0.7826766359917907,0.6070989193420409,0.5388242737032573
ACS,130042.73+280523.3,1.08,1.0996099892634508,1.040432252675374,0.9683242737032574
ACS,140237.11+542716.4,1.85,2.1945363900961996,1.4786655860087077,0.7978909403699239
ACS,140339.94+541633.3,0.9,1.438830897618368,0.48956558600870753,0.505290940369924
ACS,171817.43+593146.4,2.35,1.8143777310797335,1.2613322526753743,0.7641576070365905
ACS,235130.60-261459.7,3.32,1.7123924824156214,0.7982322526753742,0.8348242737032573
