subsample,lemon_pred,gt,frac_err
SLACS,0.9859550569346284,0.96,0.027036517640237925
SLACS,2.1165729020755557,1.17,0.809036668440646
SLACS,1.718075054952569,1.25,0.3744600439620552
SLACS,2.0011626786584973,1.05,0.9058692177699973
SLACS,1.709611762458391,1.16,0.4738032434986131
SLACS,1.4694645944226072,1.37,0.07260189373912929
SLACS,1.043597370001161,1.44,-0.27527960416586045
SLACS,1.781779098680772,1.31,0.36013671655020757
SLACS,1.211699504893199,1.33,-0.08894774068180523
SLACS,1.61690630309399,1.02,0.5852022579352844
SLACS,1.9159575016013823,1.41,0.35883510751871095
SLACS,2.0217079570669263,1.29,0.5672154705945165
SLACS,2.0989615668411803,1.41,0.48862522471005704
SLACS,1.5224392287398956,1.52,0.0016047557499312825
SLACS,1.9467906874058412,1.78,0.09370263337406805
SLACS,0.6873781318978262,1.1,-0.3751107891837945
SLACS,2.178968940152151,1.42,0.5344851691212332
SLACS,1.7185988825883896,1.63,0.054355142692263596
SLACS,1.022176830550399,1.0,0.022176830550399096
SLACS,1.02451999803316,1.04,-0.014884617275807656
SLACS,1.1325339650464843,0.99,0.14397370206715587
SLACS,1.3394243367318432,1.38,-0.0294026545421425
SLACS,1.415179263028104,1.23,0.15055224636431216
SLACS,1.4329060877959114,1.13,0.268058484775143
SLACS,1.5328824562812944,1.27,0.2069940600640113
SLACS,1.307415463709091,1.22,0.07165201943368109
SLACS,1.1014318623594654,1.04,0.05906909842256289
SLACS,1.7795897809376504,1.62,0.09851221045533969
SLACS,2.290564216112331,1.24,0.8472292065422024
EEL,0.6036327607616541,0.56,0.0779156442172393
EEL,0.6404236585090501,0.67,-0.04414379327007447
EEL,0.8429429135194697,0.86,-0.019833821488988698
EEL,0.8701035351792563,0.68,0.27956402232243566
EEL,0.620645411291263,0.68,-0.08728615986578969
EEL,0.5847201123498653,0.31,0.8861939108060172
EEL,0.4852269479057111,0.43,0.12843476257142114
EEL,0.50302578603654,0.41,0.22689216106473184
EEL,0.668699274881517,0.64,0.04484261700237035
EEL,0.7062393303653832,0.52,0.3581525583949677
EEL,0.5463750381662812,0.5,0.09275007633256238
EEL,0.75607499412208,0.6,0.26012499020346674
COSMOS,2.4962458741848343,0.67,2.7257401107236334
COSMOS,0.6429915510177991,0.73,-0.11918965614000115
COSMOS,2.0319663102289867,1.41,0.44111085831843033
COSMOS,2.727053366889881,3.14,-0.13151166659557936
COSMOS,0.5470873927514104,0.7,-0.2184465817836994
ACS,1.906609631931871,1.52,0.2543484420604415
ACS,0.6805847148325544,1.0,-0.31941528516744555
ACS,2.4028013637709393,3.1,-0.22490278588034218
ACS,1.873518140693483,1.98,-0.05377871682147317
ACS,2.072016862800042,0.77,1.6909309906494054
ACS,1.150288374761433,1.48,-0.22277812516119394
ACS,0.7826766359917907,0.36,1.1741017666438631
ACS,1.0996099892634508,1.08,0.018157397466158055
ACS,2.1945363900961996,1.85,0.18623588653848622
ACS,1.438830897618368,0.9,0.598700997353742
ACS,1.8143777310797335,2.35,-0.2279243697533049
ACS,1.512308813451272,0.82,0.8442790407942344
ACS,1.7123924824156214,3.32,-0.4842191318025237
